disease, disease_url, summary
A1C,https://medlineplus.gov/a1c.html,A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose; or blood sugar; level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day.Your A1C test result is given in percentages. The higher the percentage; the higher your blood sugar levels have been:A normal A1C level is below 5.7 percentPrediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year.Type 2 diabetes is above 6.5 percentIf you have diabetes; you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high; you may need to change your diabetes care plan.NIH: National Institute of Diabetes and Digestive and Kidney Diseases
Aortic Aneurysm,https://medlineplus.gov/aorticaneurysm.html,An aneurysm is a bulge or "ballooning" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large; it can burst and cause dangerous bleeding or even death.Most aneurysms are in the aorta; the main artery that runs from the heart through the chest and abdomen.There are two types of aortic aneurysm:Thoracic aortic aneurysms (TAA) - these occur in the part of the aorta running through the chestAbdominal aortic aneurysms (AAA) - these occur in the part of the aorta running through the abdomenMost aneurysms are found during tests done for other reasons. Some people are at high risk for aneurysms. It is important for them to get screening; because aneurysms can develop and become large before causing any symptoms. Screening is recommended for people between the ages of 65 and 75 if they have a family history; or if they are men who have smoked. Doctors use imaging tests to find aneurysms. Medicines and surgery are the two main treatments.NIH: National Heart; Lung; and Blood Institute
Aortic Aneurysm,https://medlineplus.gov/aorticaneurysm.html,An aneurysm is a bulge or "ballooning" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large; it can burst and cause dangerous bleeding or even death.Most aneurysms are in the aorta; the main artery that runs from the heart through the chest and abdomen.There are two types of aortic aneurysm:Thoracic aortic aneurysms (TAA) - these occur in the part of the aorta running through the chestAbdominal aortic aneurysms (AAA) - these occur in the part of the aorta running through the abdomenMost aneurysms are found during tests done for other reasons. Some people are at high risk for aneurysms. It is important for them to get screening; because aneurysms can develop and become large before causing any symptoms. Screening is recommended for people between the ages of 65 and 75 if they have a family history; or if they are men who have smoked. Doctors use imaging tests to find aneurysms. Medicines and surgery are the two main treatments.NIH: National Heart; Lung; and Blood Institute
Abdominal Pain,https://medlineplus.gov/abdominalpain.html,Your abdomen extends from below your chest to your groin. Some people call it the stomach; but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else; such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your health care provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately ifYou have abdominal pain that is sudden and sharpYou also have pain in your chest; neck or shoulder You're vomiting blood or have blood in your stool Your abdomen is stiff; hard and tender to touch You can't move your bowels; especially if you're also vomiting
Ectopic Pregnancy,https://medlineplus.gov/ectopicpregnancy.html,The uterus; or womb; is the place where a baby grows when a woman is pregnant. If you have an ectopic pregnancy; the fertilized egg grows in the wrong place; outside the uterus; usually in the fallopian tubes. The result is usually a miscarriage.Ectopic pregnancy can be a medical emergency if it ruptures. Signs of ectopic pregnancy includeAbdominal painShoulder painVaginal bleedingFeeling dizzy or faintGet medical care right away if you have these signs. Doctors use drugs or surgery to remove the ectopic tissue so it doesn't damage your organs. Many women who have had ectopic pregnancies go on to have healthy pregnancies later.Dept. of Health and Human Services Office on Women's Health
Birth Defects,https://medlineplus.gov/birthdefects.html,A birth defect is a problem that happens while a baby is developing in the mother's body.  Most birth defects happen during the first 3 months of pregnancy. One out of every 33 babies in the United States is born with a birth defect.A birth defect may affect how the body looks; works or both. Some birth defects like cleft lip or neural tube defects are structural problems that can be easy to see. To find others; like heart defects; doctors use special tests. Birth defects can range from mild to severe. Causes can includeGeneticsExposures to medicines or chemicals. For example; alcohol abuse can cause fetal alcohol syndrome.Infections during pregnancyCertain medicines. Before you get pregnant; talk to your health care provider about any medicines you take.Not getting enough of certain nutrients. For example; not getting enough folic acid before and during pregnancy is a key factor in causing neural tube defects.For most birth defects; the cause is unknown.Health care providers can diagnose certain birth defects during pregnancy; with prenatal tests.  That's why it important to get regular prenatal care. Other birth defects may not be found until after the baby is born. Sometimes the defect is obvious right away. Other times; the health care provider may not discover it until later in life.Babies with birth defects often need special care and treatments. The treatments may include surgery; medicines; assistive devices; and therapies.Centers for Disease Control and Prevention
Blood,https://medlineplus.gov/blood.html,Your blood is made up of liquid and solids. The liquid part; called plasma; is made of water; salts; and protein. Over half of your blood is plasma. The solid part of your blood contains red blood cells; white blood cells; and platelets.Red blood cells (RBC) deliver oxygen from your lungs to your tissues and organs. White blood cells (WBC) fight infection and are part of your immune system. Platelets help blood to clot when you have a cut or wound. Bone marrow; the spongy material inside your bones; makes new blood cells. Blood cells constantly die and your body makes new ones. Red blood cells live about 120 days; and platelets live about 6 days. Some white blood cells live less than a day; but others live much longer.There are four blood types: A; B; AB; or O. Also; blood is either Rh-positive or Rh-negative. So if you have type A blood; it's either A positive or A negative. Which type you are is important if you need a blood transfusion. And your Rh factor could be important if you become pregnant - an incompatibility between your type and the baby's could create problems. Blood tests such as blood count tests help doctors check for certain diseases and conditions. They also help check the function of your organs and show how well treatments are working. Problems with your blood may include bleeding disorders; excessive clotting and platelet disorders. If you lose too much blood; you may need a transfusion.NIH: National Heart; Lung; and Blood Institute
Abortion,https://medlineplus.gov/abortion.html,An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional.The decision to end a pregnancy is very personal. If you are thinking of having an abortion; most health care providers advise counseling.
Medicines,https://medlineplus.gov/medicines.html,You may need to take medicines every day; or only once in a while.  Either way; you want to make sure that the medicines are safe and will help you get better. In the United States; the Food and Drug Administration is in charge of assuring the safety and effectiveness of both prescription and over-the-counter medicines. Even safe drugs can cause unwanted side effects or interactions with food or other medicines you may be taking. They may not be safe during pregnancy. To reduce the risk of reactions and make sure that you get better; it is important for you to take your medicines correctly and be careful when giving medicines to children.
Over-the-Counter Medicines,https://medlineplus.gov/overthecountermedicines.html,Over-the-counter (OTC) medicines are drugs you can buy without a prescription. Some OTC medicines relieve aches; pains and itches. Some prevent or cure diseases; like tooth decay and athlete's foot. Others help manage recurring problems; like migraines.  In the United States; the Food and Drug Administration decides whether a medicine is safe enough to sell over-the-counter.  Taking OTC medicines still has risks. Some interact with other medicines; supplements; foods or drinks. Others cause problems for people with certain medical conditions. If you're pregnant; talk to your health care provider before taking any medicines. It is important to take medicines correctly; and be careful when giving them to children. More medicine does not necessarily mean better. You should never take OTC medicines longer or in higher doses than the label recommends. If your symptoms don't go away; it's a clear signal that it's time to see your health care provider. Food and Drug Administration
Aspergillosis,https://medlineplus.gov/aspergillosis.html,Aspergillosis is a disease caused by a fungus (or mold) called Aspergillus.  The fungus is very common in both indoors and outdoors. Most people breathe in the spores of the fungus every day without being affected. But some people get the disease. It usually occurs in people with lung diseases or weakened immune systems.There are different kinds of aspergillosis. One kind is allergic bronchopulmonary aspergillosis (also called ABPA).  Symptoms of ABPA include wheezing and coughing. ABPA can affect healthy people but it is most common in people with asthma or cystic fibrosis.Another kind is invasive aspergillosis; which damages tissues in the body. It usually affects the lungs. Sometimes it can also cause infection in other organs and spread throughout the body. It affects people who have immune system problems; such as people who have had a transplant; are taking high doses of steroids; or getting chemotherapy for some cancers.Your doctor might do a variety of tests to make the diagnosis; including a chest x-ray; CT scan of the lungs; and  an examination of tissues for signs of the fungus. Treatment is with antifungal drugs. If you have ABPA; you may also take steroids.Centers for Disease Control and Prevention
Abscess,https://medlineplus.gov/abscess.html,An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected; your body's immune system tries to fight the infection. White blood cells go to the infected area; collect within the damaged tissue; and cause inflammation. During this process; pus forms. Pus is a mixture of living and dead white blood cells; germs; and dead tissue. Bacteria; viruses; parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red; raised and painful. Abscesses inside your body may not be obvious and can damage organs; including the brain; lungs and others. Treatments include drainage and antibiotics.
Child Abuse,https://medlineplus.gov/childabuse.html,Child abuse is doing something or failing to do something that results in harm to a child or puts a child at risk of harm. Child abuse can be physical; sexual or emotional. Neglect; or not providing for a child's needs; is also a form of abuse. Most abused children suffer greater emotional than physical damage. An abused child may become depressed. He or she may withdraw; think of suicide or become violent. An older child may use drugs or alcohol; try to run away or abuse others. Child abuse is a serious problem. If you suspect a child is being abused or neglected; call the police or your local child welfare agency.
Domestic Violence,https://medlineplus.gov/domesticviolence.html,Domestic violence is a type of abuse. It usually involves a spouse or partner; but it can also be a child; elderly relative; or other family member.Domestic violence may includePhysical violence that can lead to injuries such as bruises or broken bonesSexual violenceThreats of physical or sexual violenceEmotional abuse that may lead to depression; anxiety; or social isolationEconomic abuse; which involves controlling access to moneyStalking; which causes fear for your own safetyThe first step in getting help is to tell someone you trust; such as a friend; family member; or co-worker. You can also contact your doctor or another health care professional; an emergency shelter; or a domestic violence helpline.The first step in getting help is to tell someone you trust.Centers for Disease Control and Prevention
Elder Abuse,https://medlineplus.gov/elderabuse.html,Many older people are victims of elder abuse. It is the mistreatment of an older person; usually by a caregiver. It can happen within the family.  It can also happen in assisted living facilities or nursing homes.The mistreatment may bePhysical; sexual; or emotional abuseNeglect or abandonmentFinancial abuse - stealing of money or belongingsPossible signs of elder abuse include unexplained bruises; burns; and injuries. There may also be bed sores and poor hygiene. The person may become withdrawn; agitated; and depressed. There may be a sudden change in the person's financial situation.Elder abuse will not stop on its own. Someone else needs to step in and help. If you think that an older person is in urgent danger; call 9-1-1. Otherwise; contact adult protective services.NIH: National Institute on Aging
Safety,https://medlineplus.gov/safety.html,You can't remove all the safety hazards from your life; but you can reduce them. To avoid many major hazards and prepare for emergenciesKeep emergency phone numbers by your telephonesMake a first aid kit for your homeMake a family emergency planInstall and maintain smoke alarms and carbon monoxide detectorsKeep guns unloaded and locked up. Lock up the ammunition separately. Follow the directions carefully when using tools or equipmentYoung children are especially at risk.  Supervision is the best way to keep them safe. Childproofing the house can also help.
Falls,https://medlineplus.gov/falls.html,A fall can change your life. If you're elderly; it can lead to disability and a loss of independence. If your bones are fragile from osteoporosis; you could break a bone; often a hip. But aging alone doesn't make people fall. Diabetes and heart disease affect balance. So do problems with circulation; thyroid or nervous systems. Some medicines make people dizzy. Eye problems or alcohol can be factors. Any of these things can make a fall more likely. Babies and young children are also at risk of falling - off of furniture and down stairs; for example. Falls and accidents seldom "just happen." Taking care of your health by exercising and getting regular eye exams and physicals may help reduce your chance of falling. Getting rid of tripping hazards in your home and wearing nonskid shoes may also help. To reduce the chances of breaking a bone if you do fall; make sure that you get enough calcium and vitamin D.  NIH: National Institute on Aging
First Aid,https://medlineplus.gov/firstaid.html,Accidents happen. Someone chokes on an ice cube or gets stung by a bee. It is important to know when to call 9-1-1 -- it is for life-threatening emergencies.  While waiting for help to arrive; you may be able to save someone's life. Cardiopulmonary resuscitation (CPR) is for people whose hearts or breathing has stopped and the Heimlich maneuver is for people who are choking.You can also learn to handle common injuries and wounds. Cuts and scrapes; for example; should be rinsed with cool water. To stop bleeding; apply firm but gentle pressure; using gauze. If blood soaks through; add more gauze; keeping the first layer in place. Continue to apply pressure. It is important to have a first aid kit available.  Keep one at home and one in your car. It should include a first-aid guide.  Read the guide to learn how to use the items; so you are ready in case an emergency happens.
Wounds and Injuries,https://medlineplus.gov/woundsandinjuries.html,An injury is damage to your body. It is a general term that refers to harm caused by accidents; falls; hits; weapons; and more. In the U.S.; millions of people injure themselves every year. These injuries range from minor to life-threatening. Injuries can happen at work or play; indoors or outdoors; driving a car; or walking across the street.Wounds are injuries that break the skin or other body tissues.   They include cuts; scrapes; scratches; and punctured skin. They often happen because of an accident; but surgery; sutures; and stitches also cause wounds. Minor wounds usually aren't serious; but it is important to clean them. Serious and infected wounds may require first aid followed by a visit to your doctor. You should also seek attention if the wound is deep; you cannot close it yourself; you cannot stop the bleeding or get the dirt out; or it does not heal.Other common types of injuries includeAnimal bitesBruisesBurnsDislocationsElectrical injuriesFracturesSprains and strains
Esophagus Disorders,https://medlineplus.gov/esophagusdisorders.html,The esophagus is the muscular tube that carries food; and liquids from your mouth to the stomach. You may not be aware of your esophagus until you swallow something too large; too hot; or too cold. You may also notice it when something is wrong. You may feel pain or have trouble swallowing.The most common problem with the esophagus is GERD (gastroesophageal reflux disease). With GERD; a muscle at the end of your esophagus does not close properly. This allows stomach contents to leak back; or reflux; into the esophagus and irritate it. Over time; GERD can cause damage to the esophagus.Other problems include heartburn; cancer; and esophagitis. Doctors may use various tests to make a diagnosis. These include imaging tests; an upper endoscopy; and a biopsy.Treatment depends on the problem. Some problems get better with over-the-counter medicines or changes in diet. Others may need prescription medicines or surgery.NIH: National Institute of Diabetes and Digestive and Kidney Diseases
Heel Injuries and Disorders,https://medlineplus.gov/heelinjuriesanddisorders.html,Heel problems are common and can be painful. Often; they result from too much stress on your heel bone and the tissues that surround it. That stress can come fromInjuriesBruises that you get walking; running or jumping Wearing shoes that don't fit or aren't made wellBeing overweightThese can lead to tendinitis; bursitis; and fasciitis; which are all types of inflammation of the tissues that surround your heel. Over time the stress can cause bone spurs and deformities. Certain diseases; such as rheumatoid arthritis and gout; can also lead to heel problems. Treatments for heel problems might include rest; medicines; exercises; taping; and special shoes. Surgery is rarely needed.
